fold,pr_auc,precision,recall,configuration
1,0.36713408040040996,0.34444444444444444,0.36470588235294116,Market baseline
2,0.26406603715323,0.4,0.34375,Market baseline
3,0.6187612767537456,0.6637931034482759,0.4350282485875706,Market baseline
4,0.38527434914295045,0.41346153846153844,0.35833333333333334,Market baseline
5,0.36384824642767427,0.4722222222222222,0.23943661971830985,Market baseline
1,0.40514812085779534,0.3974358974358974,0.36470588235294116,+ Risk appetite
2,0.2811868808570993,0.41818181818181815,0.359375,+ Risk appetite
3,0.6183986414031936,0.6909090909090909,0.4293785310734463,+ Risk appetite
4,0.3953867900469395,0.4387755102040816,0.35833333333333334,+ Risk appetite
5,0.3672847045419146,0.5151515151515151,0.23943661971830985,+ Risk appetite
1,0.40514812085779534,0.3974358974358974,0.36470588235294116,+ Liquidity
2,0.2811868808570993,0.41818181818181815,0.359375,+ Liquidity
3,0.6183986414031936,0.6909090909090909,0.4293785310734463,+ Liquidity
4,0.3953867900469395,0.4387755102040816,0.35833333333333334,+ Liquidity
5,0.3672847045419146,0.5151515151515151,0.23943661971830985,+ Liquidity
1,0.41042181669780226,0.367816091954023,0.3764705882352941,+ Connectedness
2,0.2790742692482207,0.4107142857142857,0.359375,+ Connectedness
3,0.6416614895182907,0.7619047619047619,0.4519774011299435,+ Connectedness
4,0.4061452894291606,0.39622641509433965,0.35,+ Connectedness
5,0.35602243269125877,0.6296296296296297,0.23943661971830985,+ Connectedness
1,0.4083071657931608,0.3670886075949367,0.3411764705882353,Full NIFTY-Sentinel
2,0.31050425898594447,0.4791666666666667,0.359375,Full NIFTY-Sentinel
3,0.6390874662228426,0.7155963302752294,0.4406779661016949,Full NIFTY-Sentinel
4,0.37920991306988605,0.39215686274509803,0.3333333333333333,Full NIFTY-Sentinel
5,0.362891509293634,0.5862068965517241,0.23943661971830985,Full NIFTY-Sentinel
