date,mean_abs_correlation_60d,connectedness_60d
2010-01-04,,
2010-01-05,,
2010-01-06,,
2010-01-07,,
2010-01-08,,
2010-01-11,,
2010-01-12,,
2010-01-13,,
2010-01-14,,
2010-01-15,,
2010-01-18,,
2010-01-19,,
2010-01-20,,
2010-01-21,,
2010-01-22,,
2010-01-25,,
2010-01-27,,
2010-01-28,,
2010-01-29,,
2010-02-01,,
2010-02-02,,
2010-02-03,,
2010-02-04,,
2010-02-05,,
2010-02-08,,
2010-02-09,,
2010-02-10,,
2010-02-11,,
2010-02-15,,
2010-02-16,,
2010-02-17,,
2010-02-18,,
2010-02-19,,
2010-02-22,,
2010-02-23,,
2010-02-24,,
2010-02-25,,
2010-02-26,,
2010-03-02,,
2010-03-03,,
2010-03-04,,
2010-03-05,,
2010-03-08,,
2010-03-09,,
2010-03-10,,
2010-03-11,,
2010-03-12,,
2010-03-15,,
2010-03-16,,
2010-03-17,,
2010-03-18,,
2010-03-19,,
2010-03-22,,
2010-03-23,,
2010-03-25,,
2010-03-26,,
2010-03-29,,
2010-03-30,,
2010-03-31,,
2010-04-01,,
2010-04-05,0.46872730503114646,0.46872730503114646
2010-04-06,0.46646515153402507,0.46646515153402507
2010-04-07,0.46415669981020374,0.46415669981020374
2010-04-08,0.45952336404441574,0.45952336404441574
2010-04-09,0.4640347924536823,0.4640347924536823
2010-04-12,0.46230332013736036,0.46230332013736036
2010-04-13,0.455115046368237,0.455115046368237
2010-04-15,0.4472749208616841,0.4472749208616841
2010-04-16,0.4510282645434167,0.4510282645434167
2010-04-19,0.4428896549104094,0.4428896549104094
2010-04-20,0.44927326576937954,0.44927326576937954
2010-04-21,0.4534905400102772,0.4534905400102772
2010-04-22,0.44895071473597054,0.44895071473597054
2010-04-23,0.4359614464875668,0.4359614464875668
2010-04-26,0.4146836946755074,0.4146836946755074
2010-04-27,0.4100175653405114,0.4100175653405114
2010-04-28,0.40361011818524467,0.40361011818524467
2010-04-29,0.40849165669103293,0.40849165669103293
2010-04-30,0.3966081290975571,0.3966081290975571
2010-05-03,0.3887500016592614,0.3887500016592614
2010-05-04,0.414529611346254,0.414529611346254
2010-05-05,0.4121103083251739,0.4121103083251739
2010-05-06,0.35054941236374787,0.35054941236374787
2010-05-07,0.34374428690465836,0.34374428690465836
2010-05-10,0.3792959361014806,0.3792959361014806
2010-05-11,0.3679417847073852,0.3679417847073852
2010-05-12,0.3690342235871087,0.3690342235871087
2010-05-13,0.36339335513198945,0.36339335513198945
2010-05-14,0.38132769019662194,0.38132769019662194
2010-05-17,0.36453991626703736,0.36453991626703736
2010-05-18,0.36482182036308985,0.36482182036308985
2010-05-19,0.388486141977453,0.388486141977453
2010-05-20,0.38634703851968044,0.38634703851968044
2010-05-21,0.3801729315476572,0.3801729315476572
2010-05-24,0.37761041368390474,0.37761041368390474
2010-05-25,0.3693052751454252,0.3693052751454252
2010-05-26,0.3755202829042686,0.3755202829042686
2010-05-27,0.38494154735779823,0.38494154735779823
2010-05-28,0.3727289451674391,0.3727289451674391
2010-05-31,0.37096230069743613,0.37096230069743613
2010-06-01,0.3753970038630016,0.3753970038630016
2010-06-02,0.3802819266394071,0.3802819266394071
2010-06-03,0.3808279218731509,0.3808279218731509
2010-06-04,0.37722027685407616,0.37722027685407616
2010-06-07,0.3764495208207345,0.3764495208207345
2010-06-08,0.37392967904593605,0.37392967904593605
2010-06-09,0.3733174411045596,0.3733174411045596
2010-06-10,0.38143951239402857,0.38143951239402857
2010-06-11,0.37883045426188444,0.37883045426188444
2010-06-14,0.37771607404020224,0.37771607404020224
2010-06-15,0.37774215090179275,0.37774215090179275
2010-06-16,0.3787683907224791,0.3787683907224791
2010-06-17,0.38231924361400277,0.38231924361400277
2010-06-18,0.3815396697410496,0.3815396697410496
2010-06-21,0.383455017036924,0.383455017036924
2010-06-22,0.38829851138589805,0.38829851138589805
2010-06-23,0.3889672244184614,0.3889672244184614
2010-06-24,0.389784652123507,0.389784652123507
2010-06-25,0.3882628487490909,0.3882628487490909
2010-06-28,0.38884540513080185,0.38884540513080185
2010-06-29,0.39720105051137916,0.39720105051137916
2010-06-30,0.39550076235031334,0.39550076235031334
2010-07-01,0.38827935653450885,0.38827935653450885
2010-07-02,0.3921576673170939,0.3921576673170939
2010-07-05,0.392622979315146,0.392622979315146
2010-07-06,0.39801565580560017,0.39801565580560017
2010-07-07,0.386931681206425,0.386931681206425
2010-07-08,0.39750272357215577,0.39750272357215577
2010-07-09,0.40113808793185995,0.40113808793185995
2010-07-12,0.4043101438880699,0.4043101438880699
2010-07-13,0.40181407271202735,0.40181407271202735
2010-07-14,0.40219701872367025,0.40219701872367025
2010-07-15,0.4036084235125406,0.4036084235125406
2010-07-16,0.39873923867624,0.39873923867624
2010-07-19,0.3929184001469028,0.3929184001469028
2010-07-20,0.3738777776788979,0.3738777776788979
2010-07-21,0.3791763415151301,0.3791763415151301
2010-07-22,0.3775540184711472,0.3775540184711472
2010-07-23,0.38342786343819735,0.38342786343819735
2010-07-26,0.388394632212914,0.388394632212914
2010-07-27,0.39260719422751816,0.39260719422751816
2010-07-28,0.39983722772923497,0.39983722772923497
2010-07-29,0.38088037637647904,0.38088037637647904
2010-07-30,0.3741207367144692,0.3741207367144692
2010-08-02,0.3484330373309237,0.3484330373309237
2010-08-03,0.34728328801455605,0.34728328801455605
2010-08-04,0.34456462700443924,0.34456462700443924
2010-08-05,0.34368157534682486,0.34368157534682486
2010-08-06,0.32795238500681123,0.32795238500681123
2010-08-09,0.32833589813825453,0.32833589813825453
2010-08-10,0.3295241159339342,0.3295241159339342
2010-08-11,0.33590494820383643,0.33590494820383643
2010-08-12,0.34064301668583385,0.34064301668583385
2010-08-13,0.34436464975755554,0.34436464975755554
2010-08-16,0.3469650465916515,0.3469650465916515
2010-08-17,0.35361148116470875,0.35361148116470875
2010-08-18,0.3569467792903217,0.3569467792903217
2010-08-19,0.32678170321811395,0.32678170321811395
2010-08-20,0.3361451473909202,0.3361451473909202
2010-08-23,0.3366434706483826,0.3366434706483826
2010-08-24,0.3066386873136378,0.3066386873136378
2010-08-25,0.2907906729362165,0.2907906729362165
2010-08-26,0.2754842808425596,0.2754842808425596
2010-08-27,0.256151319446776,0.256151319446776
2010-08-30,0.2516443857489457,0.2516443857489457
2010-08-31,0.2519363239246117,0.2519363239246117
2010-09-01,0.2582974370377543,0.2582974370377543
2010-09-02,0.24899087338053683,0.24899087338053683
2010-09-03,0.24807302668880665,0.24807302668880665
2010-09-06,0.2417894547515363,0.2417894547515363
2010-09-07,0.2278150847487669,0.2278150847487669
2010-09-08,0.22998571408880783,0.22998571408880783
2010-09-09,0.22809503452637678,0.22809503452637678
2010-09-13,0.2258675483155148,0.2258675483155148
2010-09-14,0.22059972329908722,0.22059972329908722
