model,fold,roc_auc,pr_auc
logistic,1,0.7912700758695439,0.40409562125605814
logistic,2,0.7337934870550162,0.23660365757416765
logistic,3,0.7138669799183308,0.5996421416892713
logistic,4,0.8305456702253855,0.4580441239773795
logistic,5,0.6310135773725825,0.3000734143910789
random_forest,1,0.8045718790028575,0.41440744165793914
random_forest,2,0.7189016990291263,0.3053050547792663
random_forest,3,0.7392627398333054,0.6430033714427617
random_forest,4,0.7753855278766311,0.3808293031993124
random_forest,5,0.6330190636453747,0.3666026881543668
